2010-02-22,Train shortage,16:08,Barnehurst,Cannon St,cancelled
2010-02-22,Train shortage,16:54,Cannon St,Dartford,cancelled
2010-02-22,Train shortage,17:26,Charing Cross,Orpington,cancelled
2010-02-22,Train shortage,18:01,Dartford,Cannon St,cancelled
2010-02-22,Train shortage,18:54,Cannon St,Barnehurst,cancelled
2010-02-22,Train shortage,18:57,Cannon St,Dartford,cancelled
2010-02-22,Train fault,15:03,Ashford,Ramsgate,delayed by 10 minutes
2010-02-22,Technical fault,15:06,Sevenoaks,Charing Cross,delayed by 12 minutes
2010-02-22,Train fault,16:58,Blackfriars,Rochester,delayed by 26 minutes
2010-02-22,Train fault,17:42,Blackfriars,Sevenoaks,delayed by 25 minutes
2010-02-22,Train crew shortage,07:22,St Pancras International,Faversham,terminated at Stratford International
2010-02-22,Delayed train crew,19:40,Charing Cross,Ramsgate,delayed by 11 minutes
2010-02-22,Under investigation,11:06,Charing Cross,Sevenoaks,terminated at Orpington
2010-02-22,Under investigation,12:06,Sevenoaks,Charing Cross,started at Orpington
2010-02-22,Under investigation,13:01,Dartford,Cannon St,cancelled
2010-02-22,Under investigation,13:57,Cannon St,Dartford,cancelled
2010-02-22,Under investigation,15:07,Cannon St,Slade Green,cancelled
