2010-06-30,Train fault,05:54,Blackfriars,Sevenoaks,delayed by 12 minutes
2010-06-30,Train fault,16:09,Blackfriars,Orpington,terminated at East Farleigh
2010-06-30,Train fault,17:34,Orpington,Blackfriars,cancelled
2010-06-30,Technical fault,06:32,Charing Cross,Dartford,delayed by 22 minutes and terminated at Lewisham
2010-06-30,Technical fault,07:26,Dartford,Cannon St,cancelled
2010-06-30,Train fault at Hayes,06:55,Hayes,Cannon St,cancelled
2010-06-30,Train crew sickness,07:16,Blackfriars,Sevenoaks,cancelled
2010-06-30,Train crew sickness,09:42,Sevenoaks,Blackfriars,started Orpington
2010-06-30,Mechanical fault,07:00,Tunbridge Wells,Charing Cross,terminated at Tonbridge
2010-06-30,Driver issue,08:20,Blackfriars,Sevenoaks,cancelled
2010-06-30,Technical fault at Lewisham,08:03,Charing Cross,Dartford,""
2010-06-30,Technical fault at Lewisham,09:01,Dartford,Cannon St,started at Slade Green
2010-06-30,Driver error,06:16,Ashford,Victoria,did not call at Charing
2010-06-30,Train defect,09:50,Cannon St,Orpington,cancelled
2010-06-30,Train defect,10:07,Cannon St,Slade Green,cancelled
2010-06-30,Train defect,10:33,Orpington,Cannon St,cancelled
2010-06-30,Technical fault,11:08,Barnehurst,Cannon St,cancelled
2010-06-30,Driver error,08:16,Cannon St,Cannon St,did not call at Lewisham
2010-06-30,Track circuit failure,11:32,Charing Cross,Dartford,did not call at Eltham
2010-06-30,Track circuit failure,11:38,Dartford,Victoria,delayed by 26 minutes and terminated at Lewisham
2010-06-30,Track circuit failure,11:38,Barnehurst,Cannon St,""
2010-06-30,Track circuit failure,11:39,Victoria,Dartford,did not call at Blackheath
2010-06-30,Track circuit failure,11:52,Dartford,Charing Cross,delayed by 18 minutes
2010-06-30,Track circuit failure,11:54,Cannon St,Barnehurst,""
2010-06-30,Track circuit failure,12:08,Barnehurst,Cannon St,started at Crayford
2010-06-30,Track circuit failure,12:08,Dartford,Victoria,did not call at Barnehurst
2010-06-30,Track circuit failure,12:24,Cannon St,Barnehurst,started at London Bridge
2010-06-30,Track circuit failure,12:24,Gillingham,Charing Cross,did not call at Blackheath
2010-06-30,Track circuit failure,12:38,Dartford,Victoria,cancelled
2010-06-30,Track circuit failure,12:39,Victoria,Dartford,started at Lewisham
2010-06-30,Track circuit failure,12:47,Charing Cross,Hayes,delayed by 16 minutes and terminated at Elmers End
2010-06-30,Track circuit failure,13:09,Charing Cross,Gillingham,did not call at Lewisham
2010-06-30,Track circuit failure,13:38,Hayes,Charing Cross,started at Clock House
2010-06-30,Track circuit failure,13:39,Victoria,Dartford,cancelled
2010-06-30,Train fault,14:21,Tunbridge Wells,Charing Cross,started at Tonbridge
2010-06-30,Technical fault at Hastings,13:50,Hastings,Charing Cross,cancelled
2010-06-30,Technical fault at Hastings,14:50,Hastings,Charing Cross,delayed by 11 minutes
2010-06-30,Technical fault at Hastings,15:45,Charing Cross,Hastings,started at Tonbridge
2010-06-30,Technical fault at Hastings,16:41,Charing Cross,Hastings,delayed by 11 minutes
2010-06-30,Track circuit failure,13:47,Cannon St,Cannon St,did not call at Lewisham
2010-06-30,Train fault,16:38,Dartford,Victoria,cancelled
2010-06-30,Technical fault,15:56,Blackfriars,Sevenoaks,delayed by 11 minutes
2010-06-30,Technical fault,18:03,Victoria,Ashford,delayed by 10 minutes
2010-06-30,Technical fault,19:20,Faversham,Dover Priory,delayed by 10 minutes
2010-06-30,Train fault at Ashford,16:47,Ashford,Victoria,delayed by 12 minutes
2010-06-30,Staff shortage,17:34,Charing Cross,Slade Green,cancelled
2010-06-30,Staff shortage,18:25,Slade Green,Cannon St,cancelled
2010-06-30,Depot issue,16:39,Sidcup,Cannon St,cancelled
2010-06-30,Depot issue,17:19,Cannon St,Sevenoaks,cancelled
2010-06-30,Train fault,19:40,Charing Cross,Ramsgate,delayed by 13 minutes
2010-06-30,Train fault,21:03,Ashford,Ramsgate,delayed by 14 minutes
2010-06-30,Delayed by late running freight train,18:48,Charing Cross,Gillingham,delayed by 10 minutes
2010-06-30,Delayed by late running freight train,19:25,St Pancras International,Faversham,delayed by 10 minutes
2010-06-30,Train fault,19:45,Charing Cross,Hastings,delayed by 11 minutes
2010-06-30,Staff shortage,19:49,Faversham,Dover Priory,cancelled
2010-06-30,Passenger alarm activated,19:19,Ashford,Victoria,delayed by 32 minutes and terminated at Swanley
2010-06-30,Passenger alarm activated,21:07,Victoria,Ashford,cancelled
2010-06-30,Technical fault,13:00,Charing Cross,Tunbridge Wells,terminated at Tonbridge
