2010-08-13,Signalling issue,00:10,Charing Cross,Tonbridge,delayed by 11 minutes
2010-08-13,Points failure at Hither Green,04:10,Gillingham,Charing Cross,did not call at Bexley
2010-08-13,Points failure at Hither Green,05:02,Charing Cross,Gillingham,started at London Bridge
2010-08-13,Debris on track,06:40,Blackfriars,Sevenoaks,cancelled
2010-08-13,Train fault at Slade Green,07:20,Slade Green,Charing Cross,cancelled
2010-08-13,Train fault at Slade Green,07:40,Barnehurst,Charing Cross,cancelled
2010-08-13,Train crew delayed,13:15,Charing Cross,Hastings,delayed by 22 minutes
2010-08-13,Train fault,14:40,Cannon St,Cannon St,terminated at Slade Green
2010-08-13,Train fault,14:57,Cannon St,Dartford,delayed by 13 minutes
2010-08-13,Train fault,15:01,Dartford,Cannon St,cancelled
2010-08-13,Train fault,15:02,Charing Cross,Dartford,delayed by 16 minutes
2010-08-13,Train fault,15:57,Cannon St,Dartford,cancelled
2010-08-13,Train fault,16:01,Dartford,Cannon St,did not call at Erith and delayed by 10 minutes
2010-08-13,Train fault,16:54,Cannon St,Dartford,cancelled
2010-08-13,Train fault at Dartford,15:31,Dartford,Cannon St,did not call at Woolwich Dockyard and delayed by 11 minutes
2010-08-13,Train crew delayed,15:38,Dartford,Victoria,did not call at Barnehurst and delayed by 14 minutes
2010-08-13,Train fault,15:36,Sevenoaks,Charing Cross,terminated at Grove Park
2010-08-13,Train fault,16:39,Charing Cross,Hayes,cancelled
2010-08-13,Driver error,07:42,Orpington,Charing Cross,did not call at Waterloo East
2010-08-13,Signalling issue,19:04,Gravesend,Charing Cross,did not call at Bexley and delayed by 13 minutes
2010-08-13,Trespasser on the line,17:50,Ramsgate,Charing Cross,did not call at Pluckley and delayed by 16 minutes
2010-08-13,Trespasser on the line,18:35,Canterbury West,Ashford,delayed by 16 minutes
2010-08-13,Trespasser on the line,18:40,Ramsgate,Charing Cross,delayed by 12 minutes
2010-08-13,Trespasser on the line,19:29,Ashford,Canterbury West,delayed by 11 minutes
