2010-03-29,Train fault,18:32,Gillingham,Victoria,delayed by 16 minutes
2010-03-29,Train fault,18:34,Ramsgate,Faversham,delayed by 12 minutes
2010-03-29,Train fault,18:39,Dover Priory,Victoria,delayed by 13 minutes
2010-03-29,Train fault,18:47,Charing Cross,Gillingham,cancelled
2010-03-29,Train fault,18:57,Victoria,Ramsgate,delayed by 16 minutes
2010-03-29,Train fault,18:58,Victoria,Gillingham,delayed by 11 minutes
2010-03-29,Train fault,19:22,Victoria,Ramsgate,delayed by 22 minutes
2010-03-29,Train fault,19:49,Faversham,Dover Priory,delayed by 12 minutes
2010-03-29,Train fault,20:15,Faversham,Dover Priory,delayed by 14 minutes
2010-03-29,Train fault,20:24,Gillingham,Charing Cross,started at Dartford
2010-03-29,Train fault,20:49,Faversham,Dover Priory,delayed by 20 minutes
2010-03-29,Train fault,21:45,Dover Priory,Victoria,delayed by 10 minutes
2010-03-29,Train fault,15:26,Blackfriars ,Sevenoaks,cancelled
2010-03-29,Train fault,17:02,Sevenoaks,Blackfriars,cancelled
2010-03-29,Technical fault at Cannon Street,16:00,Cannon St,Hayes,cancelled
2010-03-29,Technical fault at Cannon Street,16:50,Hayes,Cannon St,cancelled
2010-03-29,Technical fault at Cannon Street,17:39,Cannon St,Dartford,cancelled
2010-03-29,Technical fault,15:32,Hastings,Charing Cross,did not call at Orpington
2010-03-29,Train fault,16:43,Dartford,Charing Cross,terminated at Crayford
2010-03-29,Train fault,17:43,Charing Cross,Hayes,cancelled
2010-03-29,Train fault,18:38,Hayes,Charing Cross,cancelled
2010-03-29,Track circuit failure,18:01,Charing Cross,Gravesend,terminated at Dartford
2010-03-29,Track circuit failure,19:04,Gravesend,Charing Cross,started at Dartford
2010-03-29,Track circuit failure,19:29,Ashford,Canterbury West,delayed by 10 minutes
2010-03-29,Technical fault at Dover Priory,16:37,Charing Cross,Ramsgate,terminated at Dover Priory
2010-03-29,Technical fault at Dover Priory,19:22,Ramsgate,Ashford,delayed by 15 minutes
2010-03-29,Technical fault at Dover Priory,19:40,Ramsgate,Charing Cross,delayed by 13 minutes
2010-03-29,Technical fault at Charing Cross,20:06,Charing Cross,Sevenoaks,delayed by 11 minutes and terminated at London Bridge
2010-03-29,Technical fault at Charing Cross,21:05,Sevenoaks,Charing Cross,started at Orpington
2010-03-29,Train fault,20:56,Kent House,Blackfriars,cancelled
2010-03-29,Delayed from depot,20:53,Margate,St Pancras International,terminated at Canterbury West
2010-03-29,Train fault,22:10,Charing Cross,Ramsgate,delayed by 13 minutes
