2010-01-04,Trespasser at Swanley,16:45,Faversham,Dover Priory,cancelled
2010-01-04,Trespasser at Swanley,16:47,Ashford,Victoria,delayed by 34 minutes
2010-01-04,Trespasser at Swanley,16:58,Victoria,Ashford,delayed by 10 minutes
2010-01-04,Trespasser at Swanley,16:58,Victoria,Ashford,delayed by 14 minutes
2010-01-04,Trespasser at Swanley,17:26,Ashford,Victoria,delayed by 10 minutes
2010-01-04,Trespasser at Swanley,17:34,Ramsgate,Faversham,cancelled
2010-01-04,Trespasser at Swanley,17:39,Dover Priory,Victoria,started at Faversham
2010-01-04,Trespasser at Swanley,17:49,Ashford,Victoria,delayed by 14 minutes
2010-01-04,Trespasser at Swanley,17:54,Victoria,Rochester,started at Bromley South
2010-01-04,Trespasser at Swanley,18:03,Ashford,Ramsgate,delayed by 24 minutes
2010-01-04,Trespasser at Swanley,18:22,Ramsgate,Ashford,delayed by 11 minutes
2010-01-04,Trespasser at Swanley,18:26,Ashford,Victoria,cancelled
2010-01-04,Trespasser at Swanley,18:39,Dover Priory,Victoria,delayed by 22 minutes
