2010-07-18,Technical fault at Ramsgate,07:36,Ramsgate,Charing Cross,delayed by 13 minutes
2010-07-18,Train fault,09:05,Victoria,Ramsgate,cancelled
2010-07-18,Ticket irregularity,13:42,Sheerness,Sittingbourne,delayed by 10 minutes
2010-07-18,Track circuit failure,16:40,Ramsgate,Charing Cross,delayed by 10 minutes
2010-07-18,Track circuit failure,16:53,Margate,St Pancras International,delayed by 11 minutes
2010-07-18,Track circuit failure,18:36,Ramsgate,Charing Cross,delayed by 14 minutes
2010-07-18,Driver taken ill,20:35,Charing Cross,Hayes,cancelled
2010-07-18,Driver taken ill,21:28,Hayes,Charing Cross,cancelled
2010-07-18,Delayed by previous late running train,22:16,Charing Cross,Orpington,delayed by 14 minutes
