2010-04-27,Emergency speed restriction,08:56,Cannon St,Dartford,delayed by 10 minutes
2010-04-27,Emergency speed restriction,09:00,Cannon St,Hayes,delayed by 10 minutes
2010-04-27,Emergency speed restriction,09:45,Faversham,Dover Priory,delayed by 25 minutes
2010-04-27,Emergency speed restriction,10:40,Ramsgate,Faversham,delayed by 17 minutes
2010-04-27,Train fault at Slade Green,05:22,Dartford,Charing Cross,cancelled
2010-04-27,Train fault at Slade Green,07:20,Tunbridge Wells,Charing Cross,did not call at Sevenoaks
2010-04-27,Driver error at Dartford,05:02,Charing Cross,Gillingham,terminated at Dartford
2010-04-27,Driver error at Dartford,06:38,Gillingham,Charing Cross,delayed by 15 minutes and started at Rochester
2010-04-27,Driver error at Dartford,08:51,Cannon St,Orpington,delayed by 11 minutes
2010-04-27,Driver error at Dartford,10:03,Ashford,Ramsgate,delayed by 10 minutes
2010-04-27,Points failure at North Kent East,06:32,Crayford,Cannon St,terminated at New Cross
2010-04-27,Points failure at North Kent East,07:00,Cannon St,Hayes,terminated at New Beckenham and delayed by 36 minutes
2010-04-27,Points failure at North Kent East,07:20,Cannon St,Orpington,cancelled
2010-04-27,Points failure at North Kent East,07:53,Hayes,Charing Cross,started at New Beckenham
2010-04-27,Points failure at North Kent East,08:05,Charing Cross,Sevenoaks,cancelled
2010-04-27,Points failure at North Kent East,09:09,Cannon St,Cannon St,did not call at Belvedere
2010-04-27,Train fault,06:40,Blackfriars,Sevenoaks,delayed by 10 minutes
2010-04-27,Track circuit failure at Margate,06:49,Dover Priory,Faversham,delayed by 24 minutes
2010-04-27,Track circuit failure at Margate,06:51,Broadstairs,Cannon St,delayed by 26 minutes
2010-04-27,Track circuit failure at Margate,06:59,Ramsgate,Cannon St,delayed by 17 minutes
2010-04-27,Track circuit failure at Margate,07:00,Broadstairs,St Pancras International,delayed by 20 minutes
2010-04-27,Track circuit failure at Margate,07:04,Dover Priory,Faversham,delayed by 38 minutes
2010-04-27,Track circuit failure at Margate,07:06,Ramsgate,Victoria,delayed by 13 minutes
2010-04-27,Track circuit failure at Margate,07:35,Dover Priory,Victoria,delayed by 23 minutes
2010-04-27,Track circuit failure at Margate,07:41,Cannon St,Cannon St,delayed by 12 minutes
2010-04-27,Track circuit failure at Margate,07:50,Faversham,Dover Priory,did not call at Selling and delayed by 34 minutes
2010-04-27,Track circuit failure at Margate,07:58,Faversham,St Pancras International,delayed by 11 minutes
2010-04-27,Track circuit failure at Margate,08:00,Tunbridge Wells,Charing Cross,cancelled
2010-04-27,Track circuit failure at Margate,08:05,Dover Priory,Victoria,delayed by 10 minutes
2010-04-27,Track circuit failure at Margate,08:16,Faversham,Ramsgate,delayed by 14 minutes
2010-04-27,Track circuit failure at Margate,08:38,Barnehurst,Cannon St,delayed by 14 minutes
2010-04-27,Track circuit failure at Margate,08:45,Dover Priory,Victoria,delayed by 12 minutes
2010-04-27,Track circuit failure at Margate,09:05,Dover Priory,Victoria,delayed by 16 minutes and did not call at Kearsney
2010-04-27,Track circuit failure at Margate,09:06,Sevenoaks,Charing Cross,started at Orpington
2010-04-27,Track circuit failure at Margate,09:15,Cannon St,Cannon St,delayed by 12 minutes
2010-04-27,Track circuit failure at Margate,09:20,Cannon St,Hastings,delayed by 15 minutes
2010-04-27,Track circuit failure at Margate,09:27,Cannon St,Dartford,delayed by 10 minutes
2010-04-27,Track circuit failure at Margate,09:52,Victoria,Ramsgate,delayed by 19 minutes
2010-04-27,Track circuit failure at Margate,09:58,Victoria,Gillingham,delayed by 15 minutes
2010-04-27,Track circuit failure at Margate,10:21,Tunbridge Wells,Charing Cross,terminated at London Bridge and delayed by 24 minutes
2010-04-27,Track circuit failure at Margate,10:45,Faversham,Dover Priory,delayed by 10 minutes
2010-04-27,Track circuit failure at Margate,10:52,Victoria,Ramsgate,delayed by 10 minutes
2010-04-27,Track circuit failure at Margate,11:15,Faversham,Dover Priory,delayed by 12 minutes
2010-04-27,Track circuit failure at Margate,11:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-04-27,Track circuit failure at Margate,12:15,Faversham,Dover Priory,delayed by 15 minutes
2010-04-27,Train fault at Orpington,08:15,Hastings,Charing Cross,terminated at London Bridge and delayed by 17 minutes
2010-04-27,Train fault at Orpington,08:44,Tonbridge,Cannon St,""
2010-04-27,Train fault at Orpington,10:15,Charing Cross,Hastings,started at London Bridge
2010-04-27,Train fault at Orpington,12:03,Ashford,Ramsgate,delayed by 16 minutes
2010-04-27,Technical fault at Dover Priory,11:05,Dover Priory,Victoria,delayed by 24 minutes and did not call at Meopham
2010-04-27,Technical fault at Dover Priory,11:45,Dover Priory,Victoria,delayed by 14 minutes
2010-04-27,Technical fault at Dover Priory,13:22,Victoria,Ramsgate,delayed by 17 minutes and did not call at Whitstable
2010-04-27,Technical fault at Dover Priory,14:45,Faversham,Dover Priory,delayed by 19 minutes and did not call at Bekesbourne
2010-04-27,Train crew issue at Cannon Street,14:10,Cannon St,Cannon St,delayed by 11 minutes and started at Plumstead
2010-04-27,Train crew issue at Cannon Street,15:40,Cannon St,Cannon St,terminated at Crayford and delayed by 20 minutes
2010-04-27,Train crew issue at Cannon Street,17:16,Cannon St,Dartford,delayed by 11 minutes and did not call at Maze Hill
2010-04-27,Train fault at St Pancras International,18:10,St Pancras International,Dover Priory,cancelled
2010-04-27,Train fault at St Pancras International,18:52,Ashford,Margate,cancelled
2010-04-27,Train fault at St Pancras International,19:44,Dover Priory,St Pancras International,started at Ashford
2010-04-27,Train fault at St Pancras International,19:54,Margate,St Pancras International,started at Ashford
2010-04-27,Following previous late running journey,18:00,Cannon St,Dartford,delayed by 11 minutes
2010-04-27,Technical issue,19:40,Sittingbourne,Sheerness,delayed by 12 minutes
2010-04-27,Technical issue,20:02,Sheerness,Sittingbourne,delayed by 10 minutes
2010-04-27,Depot stock issue,15:52,Dartford,Charing Cross,cancelled
2010-04-27,Depot stock issue,16:49,Charing Cross,Sidcup,cancelled
2010-04-27,Depot stock issue,18:18,Charing Cross,Dartford,cancelled
2010-04-27,Train fault,22:40,Sittingbourne,Sheerness,cancelled
2010-04-27,Train fault,23:02,Sheerness,Sittingbourne,cancelled
