2010-06-27,Train crew delayed,07:55,Tonbridge,Charing Cross,delayed by 11 minutes
2010-06-27,Scheduling error,09:05,Charing Cross,Hayes,started at London Bridge
2010-06-27,Scheduling error,08:10,Slade Green,Charing Cross,terminated at London Bridge
2010-06-27,Planning error,09:47,Plumstead,London Bridge,cancelled
2010-06-27,Planning error,09:53,London Bridge,Plumstead,delayed by 10 minutes
2010-06-27,Staff shortage,14:39,Victoria,Sevenoaks,cancelled
2010-06-27,Passenger disorder,18:10,Sittingbourne,Sheerness,cancelled
2010-06-27,Passenger disorder,18:42,Sheerness,Sittingbourne,cancelled
2010-06-27,Train fault,17:12,St Pancras International,Dover Priory,delayed by 22 minutes
2010-06-27,Points failure at Rochester,20:24,Victoria,Faversham,delayed by 15 minutes
2010-06-27,Points failure at Rochester,20:25,St Pancras International,Faversham,delayed by 24 minutes
2010-06-27,Points failure at Rochester,20:28,Faversham,St Pancras International,delayed by 30 minutes
2010-06-27,Points failure at Rochester,20:34,Faversham,Victoria,delayed by 26 minutes
2010-06-27,Points failure at Rochester,20:58,Faversham,St Pancras International,delayed by 11 minutes
2010-06-27,Points failure at Rochester,21:55,St Pancras International,Faversham,delayed by 14 minutes
