2010-07-27,Track maintenance over run,04:33,Swanley,Victoria,did not call at Beckenham Junction
2010-07-27,Track maintenance over run,04:55,Orpington,City Thameslink,did not call at Beckenham Junction
2010-07-27,Train fault,08:04,Bromley South,Victoria,cancelled
2010-07-27,Technical fault,08:29,Crayford,Cannon St,delayed by 10 minutes
2010-07-27,Train fault at Eltham,07:36,Cannon St,Dartford,terminated at Eltham
2010-07-27,Train fault at Eltham,08:18,Slade Green,Charing Cross,cancelled
2010-07-27,Train fault at Eltham,08:24,Dartford,Charing Cross,cancelled
2010-07-27,Train fault at Eltham,09:26,Charing Cross,Gravesend,started at Dartford
2010-07-27,Mechanical fault,08:05,Charing Cross,Sevenoaks,delayed by 15 minutes
2010-07-27,Mechanical fault,09:06,Sevenoaks,Charing Cross,did not call at Petts Wood and delayed by 15 minutes
2010-07-27,Mechanical fault,10:03,Ashford,Ramsgate,delayed by 11 minutes
2010-07-27,Train fault,08:16,Cannon St,Cannon St,terminated at Lee
2010-07-27,Train fault,10:00,Cannon St,Hayes,started at London Bridge
2010-07-27,Technical fault at Rochester,09:54,Gillingham,Charing Cross,did not call at Abbey Wood
2010-07-27,Driver error,11:02,Maidstone West,Strood,delayed by 13 minutes
2010-07-27,Signalling issue,10:39,Charing Cross,Gillingham,delayed by 13 minutes
2010-07-27,Passenger alarm activated,11:10,Charing Cross,Dover Priory,terminated at Waterloo East
2010-07-27,Bridge strike,12:07,Victoria,Ashford,did not call at West Malling
2010-07-27,Delayed by previous late running freight train,19:09,Charing Cross,Gillingham,delayed by 10 minutes
2010-07-27,Technical fault at Charing Cross,12:06,Charing Cross,Sevenoaks,cancelled
2010-07-27,Technical fault at Charing Cross,13:06,Sevenoaks,Charing Cross,started at Orpington
2010-07-27,Fire on the line,13:22,Victoria,Ramsgate,delayed by 16 minutes
2010-07-27,Fire on the line,14:04,Ramsgate,Faversham,delayed by 24 minutes
2010-07-27,Fire on the line,14:45,Faversham,Dover Priory,delayed by 15 minutes
2010-07-27,Fire on the line,15:34,Ramsgate,Faversham,delayed by 10 minutes and did not call at Dumpton Park
2010-07-27,Electrical supply fault,16:38,Blackfriars,Ashford,delayed by 10 minutes
2010-07-27,Electrical supply fault,17:12,Blackfriars,Kent House,delayed by 10 minutes
2010-07-27,Train hit object,19:39,Charing Cross,Gillingham,delayed by 11 minutes
2010-07-27,Police assistance required,17:58,St Pancras International,Broadstairs,delayed by 12 minutes
2010-07-27,Police assistance required,17:58,St Pancras International,Broadstairs,delayed by 10 minutes
2010-07-27,Police assistance required,18:14,St Pancras International,Faversham,delayed by 21 minutes
2010-07-27,Police assistance required,18:25,St Pancras International,Broadstairs,delayed by 14 minutes
2010-07-27,Police assistance required,19:20,Faversham,Dover Priory,delayed by 15 minutes
