2010-10-01,Level crossing fault between Ashford and Canterbury West,18:40,Ramsgate,Charing Cross,delayed by 15 minutes
2010-10-01,Landslip at Kearsney,19:49,Faversham,Dover Priory,terminated at Shepherdswell
2010-10-01,Landslip at Kearsney,20:05,Dover Priory,Victoria,terminated at Kearsney
2010-10-01,Landslip at Kearsney,20:15,Faversham,Dover Priory,delayed by 18 minutes
2010-10-01,Landslip at Kearsney,20:15,Faversham,Dover Priory,terminated at Shepherdswell
2010-10-01,Landslip at Kearsney,20:45,Dover Priory,Victoria,started at Shepherdswell
2010-10-01,Landslip at Kearsney,20:45,Dover Priory,Victoria,delayed by 19 minutes
2010-10-01,Landslip at Kearsney,20:49,Faversham,Dover Priory,delayed by 24 minutes
2010-10-01,Landslip at Kearsney,20:49,Faversham,Dover Priory,terminated at Shepherdswell
2010-10-01,Landslip at Kearsney,20:52,Victoria,Ramsgate,delayed by 17 minutes
2010-10-01,Landslip at Kearsney,21:05,Dover Priory,Victoria,started at Shepherdswell
2010-10-01,Landslip at Kearsney,21:05,Dover Priory,Victoria,delayed by 26 minutes
2010-10-01,Landslip at Kearsney,21:15,Faversham,Dover Priory,delayed by 21 minutes
2010-10-01,Landslip at Kearsney,21:15,Faversham,Dover Priory,terminated at Shepherdswell
2010-10-01,Landslip at Kearsney,21:45,Faversham,Dover Priory,delayed by 11 minutes
2010-10-01,Landslip at Kearsney,21:45,Faversham,Dover Priory,delayed by 14 minutes
2010-10-01,Landslip at Kearsney,21:45,Faversham,Dover Priory,terminated at Shepherdswell
2010-10-01,Landslip at Kearsney,21:45,Dover Priory,Victoria,started at Shepherdswell
2010-10-01,Landslip at Kearsney,21:45,Dover Priory,Victoria,delayed by 12 minutes
2010-10-01,Landslip at Kearsney,22:04,Ramsgate,Victoria,delayed by 18 minutes
2010-10-01,Landslip at Kearsney,22:05,Dover Priory,Faversham,started at Shepherdswell
2010-10-01,Landslip at Kearsney,22:05,Dover Priory,Faversham,delayed by 10 minutes
2010-10-01,Landslip at Kearsney,22:15,Faversham,Dover Priory,delayed by 17 minutes
2010-10-01,Landslip at Kearsney,22:15,Faversham,Dover Priory,delayed by 21 minutes
2010-10-01,Landslip at Kearsney,22:22,Victoria,Ramsgate,""
2010-10-01,Landslip at Kearsney,22:22,Victoria,Ramsgate,""
2010-10-01,Landslip at Kearsney,22:45,Dover Priory,Victoria,started at Shepherdswell
2010-10-01,Landslip at Kearsney,23:04,Ramsgate,Gillingham,delayed by 11 minutes
2010-10-01,Landslip at Kearsney,23:05,Dover Priory,Faversham,cancelled
2010-10-01,Landslip at Kearsney,23:22,Victoria,Ramsgate,delayed by 19 minutes
2010-10-01,Landslip at Kearsney,23:45,Faversham,Dover Priory,delayed by 16 minutes
2010-10-01,Train fault at London Bridge,19:07,Cannon St,Slade Green,terminated at London Bridge
2010-10-01,Late despatch of train from Charing Cross,21:30,Charing Cross,Tunbridge Wells,terminated at Tonbridge
2010-10-01,Short formation,17:21,Charing Cross,Hayes,did not call at London Bridge
