2010-06-10,Lack of available stock,06:55,Hayes,Cannon St,cancelled
2010-06-10,Lack of available stock,07:20,Slade Green,Charing Cross,cancelled
2010-06-10,Lack of available stock,07:41,Cannon St,Cannon St,cancelled
2010-06-10,Technical fault,06:52,Crayford,Cannon St,terminated at New Cross
2010-06-10,Technical fault,08:18,Slade Green,Charing Cross,cancelled
2010-06-10,Technical fault,10:08,Hayes,Charing Cross,cancelled
2010-06-10,Technical fault,11:02,Charing Cross,Dartford,cancelled
2010-06-10,Points failure,07:34,Bromley South,Victoria,delayed by 11 minutes and did not call at Shortlands
2010-06-10,Track circuit failure at Robertsbridge,09:20,Cannon St,Hastings,delayed by 69 minutes
2010-06-10,Track circuit failure at Robertsbridge,09:45,Charing Cross,Hastings,delayed by 96 minutes
2010-06-10,Track circuit failure at Robertsbridge,09:50,Hastings,Charing Cross,delayed by 106 minutes and terminated at Tonbridge
2010-06-10,Track circuit failure at Robertsbridge,10:15,Charing Cross,Hastings,delayed by 64 minutes
2010-06-10,Track circuit failure at Robertsbridge,10:32,Hastings,Charing Cross,delayed by 91 minutes and terminated at Tonbridge
2010-06-10,Track circuit failure at Robertsbridge,10:45,Charing Cross,Hastings,delayed by 68 minutes
2010-06-10,Track circuit failure at Robertsbridge,10:50,Hastings,Charing Cross,delayed by 88 minutes and terminated at Tonbridge
2010-06-10,Track circuit failure at Robertsbridge,11:15,Charing Cross,Hastings,delayed by 52 minutes
2010-06-10,Track circuit failure at Robertsbridge,11:30,Charing Cross,Tunbridge Wells,delayed by 10 minutes
2010-06-10,Track circuit failure at Robertsbridge,11:32,Hastings,Charing Cross,delayed by 66 minutes and terminated at Tonbridge
2010-06-10,Track circuit failure at Robertsbridge,11:40,Ramsgate,Charing Cross,delayed by 15 minutes and did not call at Sevenoaks
2010-06-10,Track circuit failure at Robertsbridge,11:45,Charing Cross,Hastings,started at Tonbridge and delayed by 40 minutes
2010-06-10,Track circuit failure at Robertsbridge,11:50,Hastings,Charing Cross,cancelled
2010-06-10,Track circuit failure at Robertsbridge,12:15,Charing Cross,Hastings,started at Tonbridge and delayed by 10 minutes
2010-06-10,Track circuit failure at Robertsbridge,12:32,Hastings,Charing Cross,did not call at Sevenoaks and delayed by 22 minutes
2010-06-10,Track circuit failure at Robertsbridge,12:40,Ramsgate,Charing Cross,delayed by 10 minutes
2010-06-10,Track circuit failure at Robertsbridge,12:45,Charing Cross,Hastings,started at Tonbridge
2010-06-10,Track circuit failure at Robertsbridge,12:50,Hastings,Charing Cross,did not call at Sevenoaks and delayed by 17 minutes
2010-06-10,Track circuit failure at Robertsbridge,13:03,Tonbridge,Strood,delayed by 21 minutes and terminated at Maidstone West
2010-06-10,Track circuit failure at Robertsbridge,13:15,Charing Cross,Hastings,started at Tonbridge
2010-06-10,Track circuit failure at Robertsbridge,13:24,Dover Priory,Charing Cross,delayed by 16 minutes
2010-06-10,Track circuit failure at Robertsbridge,13:32,Hastings,Charing Cross,delayed by 24 minutes and terminated at London Bridge
2010-06-10,Track circuit failure at Robertsbridge,13:45,Charing Cross,Hastings,cancelled
2010-06-10,Track circuit failure at Robertsbridge,14:05,Strood,Tonbridge,started at Maidstone West
2010-06-10,Track circuit failure at Robertsbridge,14:15,Charing Cross,Hastings,delayed by 18 minutes
