2010-04-20,Driver error,08:23,Charing Cross,Barnehurst,delayed by 14 minutes
2010-04-20,Train delayed from depot,08:37,Charing Cross,Sevenoaks,terminated at Orpington
2010-04-20,Train delayed from depot,09:36,Sevenoaks,Charing Cross,started at Orpington
2010-04-20,Train fault,07:51,Sidcup,Charing Cross,started at Hither Green
2010-04-20,Passenger alarm activated,08:40,Victoria,Orpington,terminated at Kent House
2010-04-20,Technical fault,09:54,Blackfriars,Sevenoaks,cancelled
2010-04-20,Technical fault,11:32,Sevenoaks,Blackfriars,did not call at Bat & Ball and delayed by 28 minutes
2010-04-20,Technical fault,12:02,Sevenoaks,Blackfriars,cancelled
2010-04-20,Train fault at Cannon Street,09:40,Cannon St,Cannon St,did not call at Erith and delayed by 10 minutes
2010-04-20,Following late running freight train,10:17,Cannon St,Cannon St,delayed by 11 minutes
2010-04-20,Following late running freight train,10:47,Cannon St,Cannon St,delayed by 10 minutes
2010-04-20,Following late running freight train,11:40,Cannon St,Cannon St,delayed by 10 minutes
2010-04-20,Station issue,12:40,Orpington,Victoria,did not call at Petts Wood
2010-04-20,Train fault,17:12,Blackfriars,Kent House,cancelled
2010-04-20,Technical fault at Dartford,16:22,Dartford,Charing Cross,cancelled
2010-04-20,Technical fault at Dartford,17:17,Charing Cross,Gillingham,started at Dartford
2010-04-20,Vandalism,18:39,Victoria,Dartford,terminated at Blackheath
2010-04-20,Vandalism,18:47,Charing Cross,Gillingham,delayed by 14 minutes
2010-04-20,Vandalism,18:54,Cannon St,Barnehurst,""
2010-04-20,Vandalism,20:24,Gillingham,Charing Cross,did not call at Abbey Wood
2010-04-20,Vandalism,20:24,Gillingham,Charing Cross,delayed by 16 minutes
2010-04-20,Technical fault at High Brooms,18:28,Cannon St,Hastings,delayed by 31 minutes
2010-04-20,Technical fault at High Brooms,18:32,Charing Cross,Tunbridge Wells,delayed by 24 minutes
2010-04-20,Technical fault at High Brooms,18:45,Charing Cross,Hastings,delayed by 20 minutes
2010-04-20,Technical fault at High Brooms,19:21,Tunbridge Wells,Charing Cross,terminated at London Bridge and delayed by 27 minutes
2010-04-20,Technical fault at High Brooms,20:50,Hastings,Charing Cross,delayed by 12 minutes
2010-04-20,Track problem,20:15,Charing Cross,Hastings,delayed by 12 minutes
2010-04-20,Train fault at Orpington,22:51,Orpington,Charing Cross,delayed by 22 minutes
2010-04-20,Train fault at Orpington,23:39,Charing Cross,Gillingham,delayed by 10 minutes
2010-04-20,Track circuit failure,22:24,Gillingham,Charing Cross,delayed by 58 minutes
2010-04-20,Track circuit failure,22:39,Charing Cross,Gillingham,delayed by 66 minutes
2010-04-20,Track circuit failure,23:01,Dartford,Charing Cross,delayed by 57 minutes
2010-04-20,Track circuit failure,23:09,Charing Cross,Gillingham,did not call at Charlton
2010-04-20,Track circuit failure,23:26,Charing Cross,Dartford,did not call at Woolwich Dockyard
2010-04-20,Track circuit failure,23:39,Charing Cross,Gillingham,delayed by 19 minutes
2010-04-20,Track circuit failure,23:56,Charing Cross,Dartford,delayed by 42 minutes
2010-04-20,Signalling issue,23:45,Charing Cross,Hastings,delayed by 11 minutes
