2010-04-02,Points failure at Orpington,07:06,Orpington,Victoria,delayed by 19 minutes
2010-04-02,Points failure at Orpington,07:10,Orpington,Charing Cross,delayed by 18 minutes and terminated at London Bridge
2010-04-02,Points failure at Orpington,07:51,Victoria,Orpington,delayed by 15 minutes
2010-04-02,Points failure at Orpington,08:00,Charing Cross,Dartford,started at London Bridge
2010-04-02,Points failure at Orpington,08:36,Orpington,Victoria,delayed by 11 minutes
2010-04-02,Track maintenance required,07:34,Faversham,Farningham Road,delayed by 80 minutes
2010-04-02,Track maintenance required,07:34,Faversham,Farningham Road,terminated at Sole St
2010-04-02,Track maintenance required,09:01,Farningham Road,Canterbury East,cancelled
2010-04-02,Track maintenance required,09:34,Faversham,Farningham Road,delayed by 20 minutes
2010-04-02,Track maintenance required,12:01,Farningham Road,Canterbury East,cancelled
2010-04-02,Driver issue,06:34,Faversham,Farningham Road,terminated at Sole St
2010-04-02,Driver issue,08:01,Farningham Road,Faversham,started at Sole St
2010-04-02,Driver issue,08:01,Farningham Road,Faversham,delayed by 30 minutes
2010-04-02,Driver issue,09:19,Faversham,Dover Priory,delayed by 12 minutes
2010-04-02,Driver issue,10:22,Canterbury East,Farningham Road,cancelled
2010-04-02,Driver issue,11:01,Farningham Road,Canterbury East,terminated at Faversham
2010-04-02,Driver issue,12:22,Canterbury East,Farningham Road,started at Faversham
2010-04-02,Points failure,08:10,Gillingham,Charing Cross,did not call at Blackheath
2010-04-02,Points failure,08:40,Dartford,Charing Cross,delayed by 28 minutes
2010-04-02,Points failure,08:40,Dartford,Charing Cross,terminated at London Bridge
2010-04-02,Points failure,09:05,Charing Cross,Hayes,did not call at New Cross
2010-04-02,Points failure,09:35,Charing Cross,Hayes,started at London Bridge
2010-04-02,Points failure,09:35,Charing Cross,Hayes,delayed by 10 minutes
2010-04-02,Train fault,16:55,Hither Green,Charing Cross,cancelled
2010-04-02,Passenger issue,21:55,St Pancras International,Faversham,delayed by 14 minutes
