2010-06-18,Fatality at New Cross,00:10,Victoria,Ramsgate,delayed by 11 minutes
2010-06-18,Fatality at New Cross,00:15,Charing Cross,Gillingham,terminated at Dartford and delayed by 38 minutes
2010-06-18,Fatality at New Cross,00:05,Charing Cross,Dartford,delayed by 25 minutes
2010-06-18,Fatality at New Cross,00:48,Charing Cross,Orpington,delayed by 12 minutes
2010-06-18,Station issue,08:39,Cannon St,Cannon St,did not call at Erith
2010-06-18,Train fault,05:31,New Cross,Hayes,cancelled
2010-06-18,Train fault,06:15,Hayes,Charing Cross,started at Lewisham
2010-06-18,Trespasser on the line,07:40,St Pancras International,Margate,delayed by 11 minutes
2010-06-18,Driver shortages,14:56,Blackfriars,Sevenoaks,cancelled
2010-06-18,Driver shortages,15:26,Blackfriars,Sevenoaks,cancelled
2010-06-18,Driver shortages,16:22,Sevenoaks,Blackfriars,cancelled
2010-06-18,Driver shortages,15:10,Victoria,Orpington,did not call at Herne Hill
2010-06-18,Driver shortages,15:40,Victoria,Orpington,did not call at Herne Hill
2010-06-18,Driver shortages,17:02,Sevenoaks,Blackfriars,cancelled
2010-06-18,Driver shortages,17:32,Sevenoaks,Blackfriars,cancelled
2010-06-18,Driver shortages,18:26,Blackfriars,Sevenoaks,started at Crayford
2010-06-18,Technical fault at New Cross,13:56,Charing Cross,Gravesend,delayed by 22 minutes and terminated at Hither Green
2010-06-18,Technical fault at New Cross,14:00,Charing Cross,Tunbridge Wells,delayed by 18 minutes
2010-06-18,Technical fault at New Cross,14:26,Charing Cross,Gravesend,delayed by 10 minutes
2010-06-18,Technical fault at New Cross,15:03,Gravesend,Charing Cross,cancelled
2010-06-18,Technical fault at New Cross,16:09,Charing Cross,Gillingham,cancelled
2010-06-18,Technical fault at New Cross,17:54,Gillingham,Charing Cross,started at Dartford
2010-06-18,Awaiting police at Paddock Wood,14:10,Charing Cross,Ramsgate,did not call at Westernhanger and delayed by 37 minutes
2010-06-18,Awaiting police at Paddock Wood,14:40,Charing Cross,Ramsgate,did not call at Paddock Wood and delayed by 10 minutes
2010-06-18,Awaiting police at Paddock Wood,15:03,Tonbridge,Strood,did not call at Maidstone Barracks
2010-06-18,Awaiting police at Paddock Wood,15:03,Tonbridge,Strood,delayed by 33 minutes
2010-06-18,Awaiting police at Paddock Wood,15:33,Ashford,Canterbury West,cancelled
2010-06-18,Awaiting police at Paddock Wood,15:40,Ramsgate,Charing Cross,did not call at Pluckley
2010-06-18,Awaiting police at Paddock Wood,16:03,Ashford,Ramsgate,delayed by 11 minutes
2010-06-18,Awaiting police at Paddock Wood,16:35,Canterbury West,Ashford,cancelled
2010-06-18,Train fault,18:20,Strood,Paddock Wood,cancelled
2010-06-18,Train fault,19:12,Paddock Wood,Strood,cancelled
2010-06-18,Mechanical fault,18:25,Slade Green,Cannon St,cancelled
2010-06-18,Mechanical fault,19:17,Cannon St,Slade Green,cancelled
2010-06-18,Technical fault,21:51,Tunbridge Wells,Charing Cross,delayed by 14 minutes and terminated at London Bridge
2010-06-18,Technical fault,23:00,Charing Cross,Tunbridge Wells,started London Bridge delayed by 13 minutes and terminated at Tonbridge
2010-06-18,Train fault,23:40,Charing Cross,Dover Priory,delayed by 11 minutes
2010-06-18,Train fault,23:55,St Pancras International,Faversham,delayed by 38 minutes
