2010-03-16,Technical problems at Charing Cross,05:36,Charing Cross,Sevenoaks,delayed by 13 minutes and terminated at Orpington
2010-03-16,Technical problems at Charing Cross,06:36,Sevenoaks,Cannon St,started at Orpington
2010-03-16,Signalling failure,12:53,Margate,St Pancras International,delayed by 15 minutes
2010-03-16,Signalling failure,13:24,Dover Priory,Charing Cross,delayed by 11 minutes and did not call at Pluckley
2010-03-16,Signalling failure,13:35,Canterbury West,Ashford,delayed by 15 minutes
2010-03-16,Signalling failure at Canterbury West,06:10,Ramsgate,Cannon St,delayed by 11 minutes
2010-03-16,Signalling failure at Canterbury West,07:25,Hastings,Cannon St,delayed by 11 minutes
2010-03-16,Signalling failure at Canterbury West,07:41,Cannon St,Cannon St,delayed by 12 minutes
2010-03-16,Signalling failure at Canterbury West,08:17,Sevenoaks,Cannon St,delayed by 11 minutes
2010-03-16,Signalling failure at Canterbury West,08:38,Barnehurst,Cannon St,delayed by 13 minutes
2010-03-16,Signalling failure at Canterbury West,08:54,Cannon St,Barnehurst,delayed by 10 minutes
2010-03-16,Signalling failure at Canterbury West,08:56,Cannon St,Dartford,delayed by 10 minutes
2010-03-16,Signalling failure at Canterbury West,09:24,Cannon St,Barnehurst,delayed by 10 minutes
2010-03-16,Signalling failure at Canterbury West,09:27,Cannon St,Dartford,delayed by 12 minutes
2010-03-16,Technical fault,07:33,Hayes,Charing Cross,delayed by 10 minutes
2010-03-16,Train fault,07:58,Victoria,Rochester,delayed by 12 minutes
2010-03-16,Station issue at Sidcup,10:21,Tunbridge Wells,Charing Cross,delayed by 11 minutes and terminated at London Bridge
2010-03-16,Station issue at Sidcup,10:33,Ashford,Canterbury West,delayed by 12 minutes
2010-03-16,Station issue at Sidcup,11:30,Charing Cross,Tunbridge Wells,started at London Bridge
2010-03-16,Points problem,07:41,Ore,Charing Cross,delayed by 23 minutes
2010-03-16,Points problem,08:08,Gillingham,Charing Cross,delayed by 14 minutes
2010-03-16,Points problem,08:52,Dartford,Charing Cross,delayed by 25 minutes and terminated at London Bridge
2010-03-16,Points problem,09:45,Charing Cross,Hastings,delayed by 19 minutes and did not call at Orpington
2010-03-16,Points problem,09:56,Charing Cross,Gravesend,started at London Bridge
2010-03-16,Points failure,08:06,Dartford,Cannon St,delayed by 11 minutes
2010-03-16,Technical fault,09:33,Gravesend,Charing Cross,terminated at Dartford
2010-03-16,Technical fault,10:39,Charing Cross,Gillingham,started at Dartford
2010-03-16,Train delayed from depot,09:53,Margate,St Pancras International,delayed by 10 minutes
2010-03-16,Points failure,13:06,Sevenoaks,Charing Cross,did not call at Chislehurst
2010-03-16,Train fault at Dover Priory,14:44,Dover Priory,St Pancras International,delayed by 11 minutes and terminated at Ashford
2010-03-16,Train fault at Dover Priory,16:12,St Pancras International,Dover Priory,started at Ashford and delayed by 12 minutes
2010-03-16,Train fault at Dover Priory,17:40,St Pancras International,Dover Priory,terminated at Ashford
2010-03-16,Train fault at Victoria,15:25,Victoria,Orpington,cancelled
2010-03-16,Train fault at Victoria,16:10,Orpington,Victoria,cancelled
2010-03-16,Under investigation,18:03,Ashford,Ramsgate,cancelled
2010-03-16,Passenger taken ill,18:00,Victoria,Orpington,delayed by 19 minutes
2010-03-16,Signalling problem,18:03,Charing Cross,Ore,terminated at Hastings
2010-03-16,Train failure,16:54,Cannon St,Dartford,cancelled
2010-03-16,Train fault,17:50,Hastings,Charing Cross,did not call at Sevenoaks
2010-03-16,Technical fault,17:52,Cannon St,Ramsgate,cancelled
2010-03-16,Train fault at Hayes,19:05,Hayes,Charing Cross,delayed by 13 minutes and terminated at London Bridge
2010-03-16,Train fault at Hayes,20:02,Charing Cross,Dartford,started at London Bridge
2010-03-16,Power failure at Nunhead,18:02,Sevenoaks,Blackfriars,did not call at Nunhead
2010-03-16,Power failure at Nunhead,18:32,Sevenoaks,Blackfriars,did not call at Nunhead
2010-03-16,Power failure at Nunhead,18:38,Dartford,Victoria,did not call at Nunhead
2010-03-16,Power failure at Nunhead,18:39,Victoria,Dartford,did not call at Nunhead
2010-03-16,Power failure at Nunhead,18:42,Blackfriars,Sevenoaks,did not call at Nunhead
2010-03-16,Power failure at Nunhead,19:02,Sevenoaks,Blackfriars,did not call at Nunhead
2010-03-16,Power failure at Nunhead,19:09,Victoria,Dartford,did not call at Nunhead
2010-03-16,Power failure at Nunhead,19:12,Blackfriars,Sevenoaks,did not call at Nunhead
2010-03-16,Power failure at Nunhead,19:32,Sevenoaks,Blackfriars,did not call at Nunhead
2010-03-16,Power failure at Nunhead,19:39,Victoria,Dartford,did not call at Nunhead
2010-03-16,Power failure at Nunhead,19:42,Blackfriars,Sevenoaks,did not call at Nunhead
2010-03-16,Power failure at Nunhead,20:12,Blackfriars,Sevenoaks,did not call at Nunhead
2010-03-16,Police attendance required at Victoria,23:52,Victoria,Gillingham,delayed by 14 minutes
